,Airline_Code,Airline_Id,Source_Code,Source_Id,Destination_Code,Destination_ID,Codeshare,Stops,Equip_Code
0,AL54,AL54,1,1055,103,1678,Y,0,320
1,AL54,AL54,2,1230,38,1665,,0,320 AR1
2,AL54,AL54,2,1230,103,1678,,0,321 320
3,AL54,AL54,3,580,103,1678,,0,320 AR1
4,AL54,AL54,4,737,38,1665,,0,320 319
5,AL54,AL54,4,737,103,1678,,0,320 321
6,AL54,AL54,5,3941,38,1665,,0,320 319
7,AL54,AL54,5,3941,103,1678,,0,321
8,AL54,AL54,6,1688,103,1678,Y,0,320
9,AL54,AL54,7,2057,27,11051,Y,0,333
10,AL54,AL54,8,1218,15,1423,Y,0,AR1
11,AL54,AL54,8,1218,38,1665,,0,320 319 AR1
12,AL54,AL54,8,1218,103,1678,,0,321 320
13,AL54,AL54,9,1739,38,1665,,0,320
14,AL54,AL54,9,1739,103,1678,,0,320 100
15,AL54,AL54,10,469,103,1678,,0,100 AR1
16,AL54,AL54,11,3885,103,1678,,0,343
17,AL54,AL54,12,2997,103,1678,,0,333
18,AL54,AL54,13,3448,103,1678,,0,333
19,AL54,AL54,14,302,15,1423,Y,0,319 AR1
20,AL54,AL54,14,302,25,897,Y,0,332
21,AL54,AL54,14,302,38,1665,Y,0,320 319 AR1
22,AL54,AL54,14,302,56,1529,,0,AR1 319
23,AL54,AL54,14,302,72,4161,Y,0,332
24,AL54,AL54,14,302,103,1678,,0,AR1 320
25,AL54,AL54,15,1423,32,1555,Y,0,AR1
26,AL54,AL54,15,1423,35,340,Y,0,CR7
27,AL54,AL54,15,1423,40,342,Y,0,AR1
28,AL54,AL54,15,1423,53,503,Y,0,AR1
29,AL54,AL54,15,1423,67,346,Y,0,CR7 CR9
30,AL54,AL54,15,1423,81,1587,Y,0,AR1
31,AL54,AL54,15,1423,97,1613,Y,0,DH4
32,AL54,AL54,16,1489,103,1678,,0,AR1 100 320 319
33,AL54,AL54,17,1128,38,1665,Y,0,738
34,AL54,AL54,17,1128,103,1678,,0,333 343
35,AL54,AL54,18,1382,38,1665,Y,0,319 321 320 318
36,AL54,AL54,18,1382,103,1678,,0,320 AR1 32A 319
37,AL54,AL54,19,344,103,1678,,0,320 319
38,AL54,AL54,20,609,38,1665,,0,319 320
39,AL54,AL54,20,609,103,1678,,0,321 320
40,AL54,AL54,21,1509,38,1665,,0,320
41,AL54,AL54,21,1509,103,1678,Y,0,320
42,AL54,AL54,22,1177,69,4059,,0,333
43,AL54,AL54,23,1200,103,1678,Y,0,DH4
44,AL54,AL54,24,3093,103,1678,,0,333
45,AL54,AL54,25,897,72,4161,Y,0,332
46,AL54,AL54,26,4029,38,1665,,0,320 319
47,AL54,AL54,26,4029,103,1678,,0,321 320
48,AL54,AL54,27,11051,35,340,Y,0,333
49,AL54,AL54,28,599,103,1678,,0,321
50,AL54,AL54,29,345,103,1678,,0,320 AR1 100 321
51,AL54,AL54,30,2188,103,1678,,0,333
52,AL54,AL54,31,3494,38,1665,Y,0,763
53,AL54,AL54,31,3494,103,1678,,0,333
54,AL54,AL54,32,1555,38,1665,,0,319 320
55,AL54,AL54,32,1555,103,1678,,0,320 321 319 32A
56,AL54,AL54,33,1563,103,1678,Y,0,AR1
57,AL54,AL54,34,4091,103,1678,Y,0,320
58,AL54,AL54,35,340,38,1665,Y,0,CR7 735 E90
59,AL54,AL54,35,340,103,1678,,0,320 AR1
60,AL54,AL54,36,1051,103,1678,Y,0,320
61,AL54,AL54,37,2564,103,1678,,0,343
62,AL54,AL54,38,1665,42,1452,,0,320
63,AL54,AL54,38,1665,45,3714,Y,0,763
64,AL54,AL54,38,1665,47,3797,,0,333
65,AL54,AL54,38,1665,53,503,Y,0,AR1
66,AL54,AL54,38,1665,54,2948,,0,319
67,AL54,AL54,38,1665,55,507,,0,320 319
68,AL54,AL54,38,1665,57,1638,,0,319 320
69,AL54,AL54,38,1665,63,1229,,0,320 319
70,AL54,AL54,38,1665,67,346,Y,0,E95 CR9
71,AL54,AL54,38,1665,70,1354,,0,320 319 AR1
72,AL54,AL54,38,1665,74,1520,,0,320
73,AL54,AL54,38,1665,75,1636,,0,319 320
74,AL54,AL54,38,1665,80,3998,,0,320
75,AL54,AL54,38,1665,81,1587,,0,320 319
76,AL54,AL54,38,1665,82,1742,,0,320
77,AL54,AL54,38,1665,85,1075,,0,320
78,AL54,AL54,38,1665,93,1590,Y,0,738
79,AL54,AL54,38,1665,97,1613,Y,0,F70 319 100
80,AL54,AL54,38,1665,99,679,Y,0,E75
81,AL54,AL54,38,1665,100,146,Y,0,333
82,AL54,AL54,38,1665,103,1678,,0,AR1 320 319 321 32A
83,AL54,AL54,39,352,103,1678,,0,100 AR1 320
84,AL54,AL54,40,342,103,1678,,0,319 321 320 CRJ
85,AL54,AL54,41,1909,103,1678,Y,0,333
86,AL54,AL54,42,1452,103,1678,Y,0,320 333
87,AL54,AL54,43,3077,103,1678,,0,343
88,AL54,AL54,44,1130,103,1678,Y,0,320
89,AL54,AL54,45,3714,103,1678,Y,0,763 764
90,AL54,AL54,46,1701,103,1678,,0,320 32A
91,AL54,AL54,47,3797,103,1678,,0,333
92,AL54,AL54,48,813,103,1678,,0,343 333
93,AL54,AL54,49,2939,103,1678,,0,320 32A 100 319
94,AL54,AL54,50,3877,103,1678,,0,333
95,AL54,AL54,51,3484,103,1678,,0,343
96,AL54,AL54,52,1197,103,1678,Y,0,320
97,AL54,AL54,53,503,103,1678,Y,0,AR1
98,AL54,AL54,54,2948,103,1678,,0,320 32A
99,AL54,AL54,55,507,103,1678,,0,320 321 32A
100,AL54,AL54,57,1638,103,1678,,0,32A 320
101,AL54,AL54,58,1569,103,1678,Y,0,CR9 CR2 319
102,AL54,AL54,59,1054,103,1678,Y,0,320
103,AL54,AL54,60,1675,103,1678,Y,0,S20
104,AL54,AL54,61,629,103,1678,,0,AR1 320
105,AL54,AL54,62,1335,103,1678,,0,AR1
106,AL54,AL54,63,1229,103,1678,,0,320 32A
107,AL54,AL54,64,478,103,1678,,0,100 320 AR1
108,AL54,AL54,65,3576,103,1678,,0,333
109,AL54,AL54,66,1606,103,1678,Y,0,319
110,AL54,AL54,67,346,103,1678,,0,AR1
111,AL54,AL54,68,1524,103,1678,,0,AR1 100 320
112,AL54,AL54,69,4059,103,1678,,0,333
113,AL54,AL54,70,1354,103,1678,,0,320 319
114,AL54,AL54,71,2279,103,1678,,0,343
115,AL54,AL54,73,347,103,1678,,0,AR1 100
116,AL54,AL54,75,1636,103,1678,Y,0,320 319
117,AL54,AL54,76,3830,103,1678,,0,333
118,AL54,AL54,77,644,103,1678,,0,319 320
119,AL54,AL54,78,1657,103,1678,Y,0,320
120,AL54,AL54,79,3364,103,1678,,0,333
121,AL54,AL54,80,3998,103,1678,,0,321 320
122,AL54,AL54,81,1587,103,1678,,0,AR1
123,AL54,AL54,82,1742,103,1678,Y,0,320
124,AL54,AL54,83,1760,103,1678,Y,0,333
125,AL54,AL54,84,3406,103,1678,,0,343
126,AL54,AL54,85,1075,103,1678,Y,0,320
127,AL54,AL54,86,4197,103,1678,Y,0,320
128,AL54,AL54,87,3469,103,1678,,0,343
129,AL54,AL54,88,3316,103,1678,,0,343
130,AL54,AL54,89,1737,103,1678,Y,0,320
131,AL54,AL54,90,1206,103,1678,Y,0,DH4
132,AL54,AL54,91,350,103,1678,,0,AR1
133,AL54,AL54,92,1056,103,1678,Y,0,320
134,AL54,AL54,93,1590,103,1678,,0,333 343 32A
135,AL54,AL54,94,3646,103,1678,Y,0,333
136,AL54,AL54,95,351,103,1678,,0,321 320
137,AL54,AL54,96,1551,103,1678,,0,AR1 320
138,AL54,AL54,97,1613,103,1678,,0,320 32A 319 321 AR1
139,AL54,AL54,98,1246,103,1678,,0,321 320
140,AL54,AL54,99,679,103,1678,,0,100
141,AL54,AL54,100,146,101,193,Y,0,333
142,AL54,AL54,100,146,103,1678,,0,333
143,AL54,AL54,101,193,103,1678,Y,0,333
144,AL54,AL54,102,1208,103,1678,Y,0,DH4
